"ID"	"SiteFK"	"Circle"	"Orientation"	"Code"	"Species"
2599	1300	1	"B"	427	"Mountain winterberry"
2600	1300	1	"C"	428	"Mountain winterberry"
2601	1300	1	"D"	429	"Red maple"
2602	1300	1	"E"	430	"Red maple"
2603	1300	2	"A"	431	"Red oak"
2604	1300	2	"B"	432	"Red oak"
2605	1300	2	"C"	433	"Rhododendron"
2606	1300	2	"D"	434	"Serviceberry"
2607	1300	2	"E"	435	"Serviceberry"
2608	1300	3	"A"	436	"Striped maple"
2609	1300	3	"B"	437	"Witch hazel"
2610	1300	3	"C"	438	"Witch hazel"
2611	1300	3	"D"	439	"American chestnut"
2612	1300	3	"E"	440	"American chestnut"
2613	1300	4	"A"	441	"Black gum"
2614	1300	4	"B"	442	"Black gum"
2615	1300	4	"C"	443	"Cucumber magnolia"
2616	1300	4	"D"	444	"Cucumber magnolia"
2617	1300	4	"E"	445	"Hawthorn sp."
2618	1300	5	"A"	446	"Mountain winterberry"
2619	1300	5	"B"	447	"Mountain winterberry"
2620	1300	5	"C"	448	"Red maple"
2621	1300	5	"D"	449	"Red maple"
2622	1300	5	"E"	450	"Red oak"
2623	1300	1	"A"	451	"Red oak"
2624	1300	1	"B"	452	"Serviceberry"
2625	1300	1	"C"	453	"Serviceberry"
2626	1300	1	"D"	454	"Striped maple"
2627	1300	1	"E"	455	"Striped maple"
2628	1300	2	"A"	456	"White oak"
2629	1300	2	"B"	457	"White oak"
2630	1300	2	"C"	458	"Witch hazel"
2631	1300	2	"D"	459	"Witch hazel"
2632	1300	2	"E"	460	"8"
2633	1300	3	"A"	461	"8"
2634	1300	3	"B"	462	"American chestnut"
2635	1300	3	"C"	463	"American chestnut"
2636	1300	3	"D"	464	"Cucumber magnolia"
2637	1300	3	"E"	465	"Cucumber magnolia"
2638	1300	4	"A"	466	"Fraser magnolia"
2639	1300	4	"B"	467	"Fraser magnolia"
2640	1300	4	"C"	468	"Mountain winterberry"
2641	1300	4	"D"	469	"Mountain winterberry"
2642	1300	4	"E"	470	"Red maple"
2643	1300	5	"A"	471	"Red maple"
2644	1300	5	"B"	472	"Red oak"
2645	1300	5	"C"	473	"Red oak"
2646	1300	5	"D"	474	"Rhododendron"
2647	1300	5	"E"	475	"Rhododendron"
2648	1300	1	"A"	476	"Serviceberry"
2649	1300	1	"B"	477	"Serviceberry"
2650	1300	1	"C"	478	"Striped maple"
2651	1300	1	"D"	479	"Striped maple"
2652	1300	1	"E"	480	"Witch hazel"
2653	1300	2	"A"	481	"Witch hazel"
2654	1300	2	"B"	482	"Yellow birch"
2655	1300	2	"C"	483	"Yellow birch"
2656	1300	2	"D"	484	"8"
2657	1300	2	"E"	485	"8"
2658	1300	3	"A"	486	"9"
2659	1300	3	"B"	487	"9"
2660	1300	3	"C"	488	"American chestnut"
2661	1300	3	"D"	489	"American chestnut"
